houseid,ntrip,hhsize,num0to4,num5to21,numadult,numwork,numdrive,income,numcars
733,4,2,0,0,2,1,2,57500,2
739,6,1,0,0,1,1,1,22500,1
758,5,3,0,1,2,3,3,100000,4
767,15,4,0,2,2,2,2,43371,3
804,4,1,0,0,1,1,1,27500,0
814,5,2,0,0,2,2,2,17500,2
828,2,1,0,0,1,1,1,7500,1
841,7,2,0,0,2,2,2,47500,2
884,4,3,0,0,3,2,3,43371,3
909,6,2,0,0,2,2,2,100000,2
911,10,3,0,0,3,2,2,37500,4
913,5,4,0,0,4,2,2,100000,3
918,2,3,0,0,3,1,1,43371,1
936,9,5,1,2,2,1,1,100000,2
954,4,1,0,0,1,0,1,12500,1
977,8,4,0,3,1,1,3,22500,1
995,8,3,0,1,2,1,1,43371,2
1001,9,3,0,0,3,2,3,100000,2
1008,4,2,0,0,2,0,1,43371,1
1010,16,5,2,1,2,1,2,43371,2
1016,10,2,0,0,2,0,2,43371,1
1053,0,2,0,0,2,0,2,43371,2
1057,2,1,0,0,1,1,1,37500,1
1067,6,2,0,0,2,1,2,37500,2
1081,10,3,0,2,1,1,1,27500,1
1082,2,2,0,1,1,1,2,43371,2
1085,7,2,0,0,2,2,2,67500,2
1102,2,1,0,0,1,0,0,43371,0
1111,2,1,0,0,1,1,1,22500,1
1127,3,1,0,0,1,0,1,43371,1
1138,15,5,0,2,3,3,4,32500,2
1140,8,4,2,0,2,1,1,43371,3
1148,4,2,0,0,2,1,2,43371,2
1173,5,1,0,0,1,0,1,43371,1
1219,8,4,2,0,2,2,2,22500,2
1276,16,5,0,3,2,2,2,42500,2
1288,2,2,0,0,2,2,2,77500,2
1302,5,1,0,0,1,0,1,57500,2
1307,13,4,1,1,2,2,2,32500,1
1311,2,1,0,0,1,0,1,12500,1
1314,3,3,0,1,2,1,2,100000,3
1321,4,1,0,0,1,0,1,32500,1
1336,2,1,0,0,1,1,1,22500,2
1340,10,3,0,1,2,2,2,32500,2
1365,2,1,0,0,1,1,1,27500,1
1402,0,2,0,0,2,1,1,47500,2
1404,4,2,0,0,2,2,2,43371,1
1407,4,2,0,0,2,2,2,37500,2
1408,21,4,0,2,2,2,2,43371,5
1415,4,1,0,0,1,1,1,43371,1
1438,16,4,0,2,2,2,2,72500,2
1442,6,3,0,1,2,2,2,43371,2
1454,6,2,0,0,2,0,1,43371,1
1469,6,3,1,0,2,1,2,32500,2
1493,4,1,0,0,1,0,1,7500,1
1500,9,4,1,1,2,2,2,43371,2
1506,2,2,0,0,2,1,1,12500,1
1507,0,1,0,0,1,0,0,43371,0
1509,6,3,1,0,2,1,2,17500,3
1510,5,3,0,0,3,2,2,43371,2
1511,0,2,0,0,2,0,1,7500,0
1546,0,2,0,0,2,1,1,43371,1
1550,8,3,1,0,2,1,2,72500,3
1567,12,4,0,2,2,2,2,47500,2
1577,2,5,1,3,1,1,1,22500,1
1578,2,2,0,0,2,2,2,42500,2
1585,10,6,2,0,4,2,4,47500,4
1596,6,2,0,0,2,0,2,43371,1
1598,2,2,0,0,2,1,1,43371,2
1602,16,6,1,3,2,1,2,47500,2
1621,6,3,0,1,2,1,2,43371,1
1627,11,3,1,0,2,2,2,77500,2
